task_id	answer	confidence
1	1	0.96875
2	1	1.0
3	1	1.0
4	1	1.0
5	1	1.0
6	1	1.0
7	1	1.0
8	1	1.0
9	1	1.0
10	1	1.0
11	1	1.0
12	2	1.0
13	1	1.0
14	1	1.0
15	1	1.0
16	1	1.0
17	1	0.3333333333333333
18	1	0.75
19	2	0.75
20	2	1.0
21	1	1.0
22	1	1.0
23	1	1.0
24	1	1.0
25	1	1.0
26	1	0.75
27	1	0.75
28	1	1.0
29	1	0.75
30	1	1.0
31	1	1.0
32	1	0.6666666666666666
33	1	1.0
34	1	1.0
35	1	0.75
36	1	1.0
37	1	1.0
38	2	0.6666666666666666
39	1	1.0
40	1	1.0
41	1	1.0
42	1	1.0
43	1	0.75
44	1	1.0
45	1	1.0
46	1	1.0
47	1	1.0
48	1	1.0
49	1	0.6666666666666666
50	2	1.0
51	1	0.75
52	1	1.0
53	1	1.0
54	1	1.0
55	1	1.0
56	1	1.0
57	1	1.0
58	1	1.0
59	1	1.0
60	1	1.0
61	1	1.0
62	1	1.0
63	1	1.0
64	1	0.75
65	1	1.0
66	2	0.75
67	1	1.0
68	2	0.75
69	1	0.6666666666666666
70	0	0.0
71	1	1.0
72	1	1.0
73	1	1.0
74	1	1.0
75	1	1.0
76	1	1.0
77	2	1.0
78	1	1.0
79	1	1.0
80	1	1.0
81	1	1.0
82	2	1.0
83	1	1.0
84	1	1.0
85	1	0.3333333333333333
86	1	1.0
87	1	1.0
88	1	1.0
89	1	0.75
90	1	1.0
91	1	1.0
92	2	1.0
93	1	1.0
94	1	1.0
95	1	1.0
96	1	1.0
97	1	1.0
98	1	1.0
99	1	1.0
100	1	1.0
101	1	0.75
102	1	1.0
103	1	1.0
104	1	1.0
105	1	1.0
106	1	1.0
107	1	1.0
108	1	1.0
109	1	1.0
110	1	1.0
111	1	1.0
112	1	1.0
113	1	1.0
114	1	1.0
115	1	1.0
116	1	0.75
117	1	1.0
118	1	1.0
119	1	1.0
120	1	1.0
121	1	1.0
122	1	0.75
123	1	1.0
124	1	1.0
125	1	1.0
126	1	1.0
127	1	1.0
128	1	1.0
129	1	1.0
130	1	1.0
131	1	0.75
132	2	1.0
133	2	1.0
134	2	1.0
135	2	1.0
136	2	0.6666666666666666
137	2	1.0
138	2	0.5
139	2	0.75
140	2	1.0
141	2	1.0
142	2	1.0
144	2	1.0
145	2	1.0
146	2	1.0
147	2	1.0
148	2	1.0
149	2	1.0
150	2	1.0
151	1	1.0
152	1	1.0
153	1	0.6666666666666666
154	1	0.6666666666666666
155	1	1.0
156	2	1.0
157	2	1.0
158	2	1.0
159	2	0.9705882352941176
160	2	1.0
161	2	1.0
162	2	0.75
163	2	1.0
164	2	1.0
165	2	1.0
166	2	1.0
167	2	1.0
168	2	1.0
169	2	1.0
170	2	1.0
171	2	1.0
172	2	1.0
173	2	1.0
174	2	1.0
175	2	1.0
176	2	1.0
177	2	1.0
178	2	1.0
179	2	1.0
180	2	1.0
181	2	1.0
182	2	1.0
183	2	1.0
184	2	1.0
185	2	1.0
186	2	1.0
187	1	0.75
188	2	1.0
189	2	1.0
190	2	1.0
191	2	0.75
192	2	1.0
193	2	1.0
194	2	1.0
195	2	1.0
196	2	1.0
198	2	1.0
199	2	1.0
200	2	1.0
201	2	0.6666666666666666
202	2	1.0
203	2	1.0
204	2	1.0
205	2	1.0
206	2	1.0
207	2	1.0
208	2	1.0
209	2	1.0
210	2	1.0
211	2	1.0
212	2	0.75
213	2	1.0
214	2	1.0
215	2	1.0
216	2	1.0
217	2	1.0
218	2	1.0
219	2	1.0
220	2	1.0
221	2	0.75
222	2	1.0
223	2	1.0
224	2	0.75
225	2	1.0
226	2	1.0
227	2	1.0
228	2	1.0
229	2	1.0
230	2	1.0
231	2	0.6666666666666666
232	2	1.0
233	2	1.0
234	2	1.0
235	2	1.0
236	2	1.0
237	2	1.0
238	2	1.0
239	2	1.0
240	2	1.0
241	2	1.0
242	2	1.0
243	2	1.0
244	2	1.0
245	2	1.0
246	2	1.0
247	2	1.0
248	2	1.0
249	2	1.0
250	2	1.0
251	2	1.0
252	2	1.0
253	2	1.0
254	2	1.0
255	2	1.0
256	2	1.0
257	2	0.75
258	2	1.0
259	2	1.0
260	2	1.0
261	2	1.0
262	2	1.0
263	2	1.0
264	2	1.0
265	2	1.0
266	2	1.0
267	2	1.0
268	2	1.0
269	2	1.0
270	2	1.0
271	2	1.0
272	2	1.0
273	2	1.0
274	2	1.0
275	2	1.0
276	2	1.0
277	2	1.0
278	2	1.0
279	2	1.0
280	2	1.0
281	2	1.0
282	2	1.0
283	2	1.0
284	2	1.0
285	2	1.0
286	2	1.0
287	2	1.0
288	2	1.0
289	2	1.0
290	2	1.0
291	2	1.0
292	2	1.0
293	2	1.0
294	2	1.0
295	2	1.0
296	2	1.0
297	1	1.0
298	1	1.0
299	1	1.0
300	1	1.0
301	1	1.0
302	1	0.6666666666666666
303	1	1.0
304	0	0.0
305	1	1.0
306	1	1.0
307	1	1.0
308	1	0.75
309	1	1.0
310	1	0.75
311	1	0.75
312	1	1.0
313	1	0.6666666666666666
314	1	0.75
315	1	1.0
316	1	1.0
317	1	0.75
318	0	0.6666666666666666
319	2	0.5
320	1	1.0
321	2	1.0
322	1	1.0
324	1	1.0
326	1	1.0
327	1	1.0
328	1	1.0
329	1	0.75
330	1	1.0
331	2	0.75
332	1	1.0
333	2	0.3333333333333333
334	2	1.0
335	1	1.0
336	1	1.0
337	1	1.0
338	1	1.0
339	1	1.0
340	1	1.0
